,材料,试批号,实验屈服值,实验抗拉值,实验伸长率,牌号,钢种,出炉温度,加热时间,板坯厚度,中间坯厚度,粗轧压下率,精轧开轧温度,终轧温度,成品厚度,粗轧压缩比,精轧压缩比,C,Si,Mn,AlT,Nb,V,Ti,Ni,Cu,Cr,Mo,P,S,Ceq,Pcm,温度差
51,1211K86800,1LL012157200,360,470,27.5,SS400,ZA4D6100,1194,12726,264,80,0.213,962,836,21.7,3.3,3.687,0.16,0.17,0.34,0.042,0,0,0.004,0.03,0.03,0.03,0.01,0.014,0.0031,0.228666667,0.537833333,126
52,1211K90800,1LL012157300,394,468,28.5,SS400,ZA4D6100,1173,12531,264,80,0.213,948,830,21.7,3.3,3.687,0.16,0.17,0.34,0.042,0,0,0.004,0.03,0.03,0.03,0.01,0.014,0.0031,0.228666667,0.537833333,118
53,1211K66800,1LL012157900,340,458,25.5,SS400,ZA4D6100,1185,13208,264,70,0.257,973,856,21.7,3.771,3.226,0.16,0.18,0.36,0.032,0,0,0.002,0.02,0.04,0.05,0.01,0.013,0.0046,0.236,0.569166667,117
54,1211K70800,1LL012158000,356,471,27,SS400,ZA4D6100,1180,12965,264,70,0.257,970,843,21.7,3.771,3.226,0.16,0.18,0.36,0.032,0,0,0.002,0.02,0.04,0.05,0.01,0.013,0.0046,0.236,0.569166667,127
55,1211K74800,1LL012158100,337,454,27,SS400,ZA4D6100,1179,12996,264,69.99,0.258,970,840,21.7,3.772,3.225,0.16,0.18,0.36,0.032,0,0,0.002,0.02,0.04,0.05,0.01,0.013,0.0046,0.236,0.569166667,130
56,1211K78600,1LL012158200,299,435,31.5,SS400,ZA4D6100,1164,11470,264,95,0.159,894,830,35.7,2.779,2.661,0.16,0.18,0.36,0.032,0,0,0.002,0.02,0.04,0.05,0.01,0.013,0.0046,0.236,0.569166667,64
57,1211K98600,1LL012159000,299,438,31,SS400,ZA4D6100,1137,11910,264,100,0.191,897,840,35.7,2.64,2.801,0.16,0.19,0.36,0.04,0.001,0,0.003,0.02,0.03,0.04,0.01,0.014,0.0037,0.233333333,0.559,57
58,1211L03600,1LL012159100,285,422,30.5,SS400,ZA4D6100,1146,12063,264,100,0.193,892,843,35.7,2.64,2.801,0.16,0.19,0.36,0.04,0.001,0,0.003,0.02,0.03,0.04,0.01,0.014,0.0037,0.233333333,0.559,49
59,1211L06600,1LL012159200,287,432,32,SS400,ZA4D6100,1168,11972,264,100,0.193,893,844,35.7,2.64,2.801,0.16,0.19,0.36,0.04,0.001,0,0.003,0.02,0.03,0.04,0.01,0.014,0.0037,0.233333333,0.559,49
60,1211L10600,1LL012159300,289,434,31,SS400,ZA4D6100,1161,11963,264,100,0.194,895,838,35.7,2.64,2.801,0.16,0.19,0.36,0.04,0.001,0,0.003,0.02,0.03,0.04,0.01,0.014,0.0037,0.233333333,0.559,57
61,1211L14600,1LL012159800,299,430,31.5,SS400,ZA4D6100,1141,12062,264,100,0.195,892,833,35.7,2.64,2.801,0.17,0.19,0.34,0.028,0,0,0.002,0.02,0.03,0.03,0.02,0.018,0.003,0.24,0.549166667,59
62,1211L18600,1LL012159900,358,467,31,SS400,ZA4D6100,1172,11737,264,90,0.181,870,806,35.7,2.933,2.521,0.17,0.19,0.34,0.028,0,0,0.002,0.02,0.03,0.03,0.02,0.018,0.003,0.24,0.549166667,64
63,1211L20600,1LL012160000,299,437,32.5,SS400,ZA4D6100,1168,12145,264,90,0.179,893,842,35.7,2.933,2.521,0.17,0.19,0.34,0.028,0,0,0.002,0.02,0.03,0.03,0.02,0.018,0.003,0.24,0.549166667,51
64,1211L23600,1LL012160100,298,433,32,SS400,ZA4D6100,1149.5,11837,264,93,0.217,895,842,36.23,2.839,2.567,0.17,0.19,0.34,0.028,0,0,0.002,0.02,0.03,0.03,0.02,0.018,0.003,0.24,0.549166667,53
65,1211L26600,1LL012160600,300,434,32,SS400,ZA4D6100,1167,12033,264,93,0.218,895,844,35.7,2.839,2.605,0.16,0.17,0.38,0.034,0.002,0,0.004,0.03,0.03,0.04,0.01,0.016,0.0022,0.237333333,0.578333333,51
66,1211L30600,1LL012160700,301,437,32.5,SS400,ZA4D6100,1162,12077,264,92.99,0.218,895,831,35.7,2.839,2.605,0.16,0.17,0.38,0.034,0.002,0,0.004,0.03,0.03,0.04,0.01,0.016,0.0022,0.237333333,0.578333333,64
67,1211L34600,1LL012160800,312,445,31,SS400,ZA4D6100,1169,12013,264,93,0.218,891,833,35.7,2.839,2.605,0.16,0.17,0.38,0.034,0.002,0,0.004,0.03,0.03,0.04,0.01,0.016,0.0022,0.237333333,0.578333333,58
68,1211L38600,1LL012160900,292,432,32,SS400,ZA4D6100,1158,11718,264,99.99,0.191,897,845,35.7,2.64,2.801,0.16,0.17,0.38,0.034,0.002,0,0.004,0.03,0.03,0.04,0.01,0.016,0.0022,0.237333333,0.578333333,52
