,材料,试批号,实验屈服值,实验抗拉值,实验伸长率,牌号,钢种,出炉温度,加热时间,板坯厚度,中间坯厚度,粗轧压下率,精轧开轧温度,终轧温度,成品厚度,粗轧压缩比,精轧压缩比,C,Si,Mn,AlT,Nb,V,Ti,Ni,Cu,Cr,Mo,P,S,Ceq,Pcm,温度差
393,1326N31300,1LL025274300,343,472,38.5,AB/A,ZF4H6100,1194,12744,264,70,0.286,984,821,15.1,3.771,4.636,0.18,0.1,0.54,0.033,0,0,0.001,0.02,0.04,0.07,0.01,0.027,0.0044,0.29,0.7675,163
394,1326N16300,1LL025274700,294,435,34.5,AB/A,ZF4H6100,1149.5,12244,264,59.99,0.345,960,838,17.39,4.401,3.45,0.16,0.1,0.52,0.029,0,0,0.001,0.02,0.05,0.04,0.01,0.014,0.0062,0.261333333,0.736,122
395,1326N18300,1LL025274800,327,460,27.5,AB/A,ZF4H6100,1210,12655,264,70,0.258,929,832,18.2,3.771,3.846,0.16,0.1,0.52,0.029,0,0,0.001,0.02,0.05,0.04,0.01,0.014,0.0062,0.261333333,0.736,97
396,1324N20100,1LL025298700,351,475,39,AB/A,ZF4H6100,1210,13073,120,70,0.19,931,838,20.3,1.714,3.448,0.15,0.18,0.88,0.024,0.002,0.002,0.003,0.02,0.03,0.04,0.01,0.022,0.0055,0.3104,1.068866667,93
397,1326N68300,1LL025373900,351,461,35,AB/A,ZF4H6100,1201,12499,264,70,0.298,986,813,12.7,3.771,5.512,0.16,0.1,0.54,0.03,0.001,0,0.001,0.01,0.03,0.05,0,0.023,0.0028,0.262666667,0.735833333,173
398,1324N67100,1LL025383800,331,426,36,AB/A,ZF4H6100,1199,13281,120,70,0.228,919,823,20.3,1.714,3.448,0.17,0.13,0.53,0.042,0,0,0.002,0.02,0.03,0.04,0,0.014,0.0093,0.269666667,0.736333333,96
399,1324K83120,1LL025743900,314,450,46.5,AB/A,ZF4H6100,1203,17330,264,70,0.275,1039,811,12.2,3.771,5.738,0.18,0.1,0.52,0.031,0,0,0.002,0.02,0.03,0.04,0,0.018,0.0056,0.278,0.735333333,228
400,1325Q65400,1LL025758700,352,463,40,AB/A,ZF4H6100,1199,12842,264,70,0.276,1026,839,16.2,3.771,4.321,0.16,0.12,0.56,0.031,0,0,0.002,0.02,0.03,0.06,0.01,0.01,0.0058,0.270666667,0.757666667,187
401,1325Q81800,1LL025758800,335,433,34,AB/A,ZF4H6100,1205,15627,264,74.99,0.249,1105,844,10,3.52,7.499,0.16,0.12,0.56,0.031,0,0,0.002,0.02,0.03,0.06,0.01,0.01,0.0058,0.270666667,0.757666667,261
402,1325Q65400,1LL025759000,339,462,37.5,AB/A,ZF4H6100,1199,12842,264,70,0.276,1026,839,16.2,3.771,4.321,0.16,0.12,0.56,0.031,0,0,0.002,0.02,0.03,0.06,0.01,0.01,0.0058,0.270666667,0.757666667,187
403,1326P50100,1LL025915000,309,441,32.5,AB/A,ZF4H6100,1200,12966,199,70,0.15,991,826,15.2,2.843,4.605,0.16,0.16,0.54,0.025,0.001,0,0.001,0.02,0.06,0.04,0.01,0.022,0.006,0.265333333,0.768,165
404,1325L15300,1LL025915400,282,409,37,AB/A,EF4G7300,1192,12583,222,70,0.295,978,849,13,3.171,5.385,0.09,0.19,0.81,0.025,0.001,0,0.003,0.02,0.02,0.04,0.01,0.014,0.0036,0.237666667,0.929,129
405,1325L15420,1LL025915500,302,410,42.5,AB/A,EF4G7300,1192,12583,222,70,0.295,978,849,13,3.171,5.385,0.09,0.19,0.81,0.025,0.001,0,0.003,0.02,0.02,0.04,0.01,0.014,0.0036,0.237666667,0.929,129
406,1325L00320,1LL025919700,289,400,36,AB/A,EF4G7300,1204,12393,222,70,0.244,962,824,18,3.171,3.889,0.09,0.19,0.81,0.025,0.001,0,0.003,0.02,0.02,0.04,0.01,0.014,0.0036,0.237666667,0.929,138
407,1325L17300,1LL025961300,354,436,39,AB/A,EF4G7300,1192,12651,222,70,0.206,1045,831,11.5,3.171,6.087,0.09,0.19,0.81,0.025,0.001,0,0.003,0.02,0.02,0.04,0.01,0.014,0.0036,0.237666667,0.929,214
408,1325L37400,1LL025962300,307,436,41,AB/A,EF4G6100,1200,13898,222,69.99,0.283,994,812,11.5,3.172,6.086,0.12,0.14,0.82,0.028,0.002,0,0.002,0.02,0.04,0.03,0.01,0.011,0.0033,0.268666667,0.986833333,182
409,1328P14800,1LL026053800,346,446,34.5,AB/A,ZF4H6100,1214,14141,264,69.99,0.218,1003,841,16.7,3.772,4.191,0.16,0.12,0.58,0.029,0.001,0,0.002,0.02,0.03,0.03,0.01,0.014,0.0096,0.268,0.776166667,162
410,1328P14800,1LL026053900,350,446,35.5,AB/A,ZF4H6100,1214,14141,264,69.99,0.218,1003,841,16.7,3.772,4.191,0.16,0.12,0.58,0.029,0.001,0,0.002,0.02,0.03,0.03,0.01,0.014,0.0096,0.268,0.776166667,162
411,1328P44300,1LL026054500,317,439,35,AB/A,ZF4H6100,1177,12053,264,80,0.199,915,827,29.2,3.3,2.74,0.16,0.13,0.53,0.027,0.001,0,0.002,0.02,0.03,0.04,0.01,0.014,0.0048,0.261666667,0.727,88
412,1328P35400,1LL026054600,365,453,30.5,AB/A,ZF4H6100,1205,14803,264,70,0.243,977,829,18.2,3.771,3.846,0.16,0.13,0.53,0.027,0.001,0,0.002,0.02,0.03,0.04,0.01,0.014,0.0048,0.261666667,0.727,148
